path_id,start_entity_id,end_entity_id,path_json,validation_status
PATH-FFA837C56F781C2E,MSV1-C13DB069ADC01417,MSV1-C13DB069ADC01417,"[""MSV1-C13DB069ADC01417""]",INFERRED_FAMILY_PATH
PATH-28424E76CD28FD35,MSV1-FB653B8E35D6AF46,MSV1-FB653B8E35D6AF46,"[""MSV1-FB653B8E35D6AF46""]",INFERRED_FAMILY_PATH
PATH-2B0DC0C0F00B9244,MSV1-840885A95B498566,MSV1-840885A95B498566,"[""MSV1-840885A95B498566""]",INFERRED_FAMILY_PATH
PATH-C844998AC9391429,MSV1-A7B14810D806CB5D,MSV1-A7B14810D806CB5D,"[""MSV1-A7B14810D806CB5D""]",INFERRED_FAMILY_PATH
PATH-98D7279329360AE0,MSV1-5DC4D37E45F14D08,MSV1-5DC4D37E45F14D08,"[""MSV1-5DC4D37E45F14D08""]",INFERRED_FAMILY_PATH
PATH-40F3E618CD5BD867,MSV1-9DB882B78896FDDA,MSV1-9DB882B78896FDDA,"[""MSV1-9DB882B78896FDDA""]",INFERRED_FAMILY_PATH
PATH-BDBCA9D315A9FDAB,MSV1-230D6509055200C6,MSV1-230D6509055200C6,"[""MSV1-230D6509055200C6""]",INFERRED_FAMILY_PATH
PATH-9DD8D4A88E2D56E6,MSV1-0DC3071762082B0E,MSV1-0DC3071762082B0E,"[""MSV1-0DC3071762082B0E""]",INFERRED_FAMILY_PATH
PATH-D33C20837DECF878,MSV1-4D8713F356F6D84B,MSV1-4D8713F356F6D84B,"[""MSV1-4D8713F356F6D84B""]",INFERRED_FAMILY_PATH
PATH-9114A20B9753F9E9,MSV1-427BA41BC3743739,MSV1-427BA41BC3743739,"[""MSV1-427BA41BC3743739""]",INFERRED_FAMILY_PATH
PATH-C95E628AD2FF88C2,MSV1-29050ECF6816B39F,MSV1-29050ECF6816B39F,"[""MSV1-29050ECF6816B39F""]",INFERRED_FAMILY_PATH
PATH-0DA4E736AE77C8D9,MSV1-F57488812C2CE3C8,MSV1-F57488812C2CE3C8,"[""MSV1-F57488812C2CE3C8""]",INFERRED_FAMILY_PATH
PATH-8CB4A809824C0217,MSV1-992DA21D8F745CAF,MSV1-992DA21D8F745CAF,"[""MSV1-992DA21D8F745CAF""]",INFERRED_FAMILY_PATH
PATH-8DB17963DF5363C5,MSV1-071530C3C8255238,MSV1-071530C3C8255238,"[""MSV1-071530C3C8255238""]",INFERRED_FAMILY_PATH
